mol_idx,smiles,half-life
19,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,0.2167
20,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1,0.6333
21,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(C#N)ccc3C2=O)CN1,0.7
22,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3[nH]c(=O)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.65
23,Cc1ncsc1-c1ccc([C@H](CC(=O)NCCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,0.3767
24,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,0.003333
25,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,0.2667
26,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,0.055
27,CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,0.08333
28,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,0.01
29,O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCNC(=O)c4ccc5c(c4)nc(Nc4cccc(Cl)c4)c4ccncc45)c3C2=O)C(=O)N1,0.2433
30,COc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.09167
31,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,0.02
32,O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.02833
33,COc1cc(F)cc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)C(C)O)c1,0.08333
34,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnn5C)ncc4Cl)cc3C2=O)c1,0.2167
35,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.2
36,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,1.05
37,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,6.0
38,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4ccnc(NC5CCOCC5)n4)cc3C2=O)c1,0.8167
39,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnc(OC)c5)ncc4Cl)cc3C2=O)c1,0.45
40,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)C(C)(C)C)cc1,0.02833
41,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.1833
42,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,0.5333
43,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,0.08333
44,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5COC5)ncc4Cl)cc3C2=O)c1,0.8333
45,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,0.465
46,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.2667
47,CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F,1.267
48,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,0.08333
49,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.2667
50,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0.01433
51,Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.1667
52,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCNc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,0.01833
53,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.3
54,Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.085
55,O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCCCCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.1233
56,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,0.08333
57,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(N[C@@H](C)CO)ncc4Cl)cc3C2=O)c1,0.4833
58,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(F)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.08333
59,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,0.5
60,COc1cc(F)cc([C@@H](CO)NC(=O)CN2C(=O)c3cc(-c4nc(NC5CCOCC5)ncc4Cl)ccc3[C@H]2C)c1,0.1217
61,COc1cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)ccn1,0.25
62,CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,0.08333
63,CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,6.0
64,C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(OCCN(C)C)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.1667
65,[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1,0.2333
66,O=C(CN1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O)N1CCc2ccccc2CC1,0.4667
67,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.5833
68,C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,0.2833
69,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cnn(C)n5)ncc4Cl)cc3C2=O)c1,0.3167
70,COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,0.3833
